cve_muni,entidad,municipio,ic_rezedu_porcentaje,ic_asalud_porcentaje,ic_segsoc_porcentaje,ic_cv_porcentaje,ic_sbv_porcentaje,ic_ali_porcentaje
08015,Chihuahua,Coyame del Sotol,37.2945638432,13.3375474083,81.3527180784,6.6371681416,8.1542351454,10.1769911504
08016,Chihuahua,La Cruz,17.9061784897,9.8684210526,73.3123569794,4.26201373,3.5469107551,10.6693363844
08017,Chihuahua,Cuauhtémoc,24.9454642786,14.5967457321,46.4634953446,4.1202585825,3.1490030504,13.952700412
08018,Chihuahua,Cusihuiriachi,36.8280871671,9.9515738499,59.5157384988,6.5133171913,17.6513317191,15.617433414
08019,Chihuahua,Chihuahua,9.2885860888,8.6404698613,33.5198617386,2.2037133819,1.0655764049,11.2638687133
08020,Chihuahua,Chínipas,32.1171240227,12.678215545,85.7887475088,29.7562471256,64.5255250652,22.2750268281
08021,Chihuahua,Delicias,13.7331262644,10.4096571373,31.0267897406,2.3209459585,0.6653167471,11.2460463894
08022,Chihuahua,Dr. Belisario Domínguez,37.7219575574,8.7050671286,67.8648765699,3.2048505847,7.3624945864,9.0515374621
08023,Chihuahua,Galeana,29.35694315,22.2739981361,85.0512581547,15.7502329916,6.5051258155,19.7390493942
08024,Chihuahua,Santa Isabel,0,0,0,0,0,0
08025,Chihuahua,Gómez Farías,23.888753947,2.2224921059,61.3310663104,2.7325722614,9.2057323294,13.8936118533
08026,Chihuahua,Gran Morelos,34.5243412238,5.8061634658,66.0562751228,4.0643144261,9.6025011166,14.2920946851
08027,Chihuahua,Guachochi,27.6895411768,9.5999383369,63.1883499761,21.5702151111,51.9242472359,25.2747099861
08028,Chihuahua,Guadalupe,23.6456483126,8.9031971581,49.4005328597,3.8854351687,7.6820603908,13.0994671403
08029,Chihuahua,Guadalupe y Calvo,30.7101620898,9.2456930315,84.179282507,20.6822404924,47.8397046062,20.9851483662
08030,Chihuahua,Guazapares,37.4402295186,5.5785782595,82.8020401658,27.5581766018,53.0124322601,20.9276378706
08031,Chihuahua,Guerrero,28.5263954722,9.5341666463,65.0451226494,8.8228896426,19.877471767,13.6778546321
08032,Chihuahua,Hidalgo del Parral,12.54729702,7.9626287976,40.15881515,3.611460705,0.9093555224,10.9027699184
08033,Chihuahua,Huejotitán,33.8215712383,3.861517976,82.5565912117,9.3209054594,21.4380825566,18.3754993342
08034,Chihuahua,Ignacio Zaragoza,27.5786163522,3.8679245283,64.1194968553,2.7672955975,11.3050314465,13.0817610063
08035,Chihuahua,Janos,34.856395789,16.1288640758,82.1062084043,6.7841402306,7.9652856846,5.5272227486
08036,Chihuahua,Jiménez,14.9616706217,5.1107829353,56.9067977949,3.5933092987,2.3452652625,10.922179171
08037,Chihuahua,Juárez,14.5254776214,14.9883856507,33.3369220918,5.3642776742,1.3830694755,13.684922366
